source,id,title,authors,publication_year,publisher,language,rights,access,is_public_domain,isbn,oclc_num,lccn,bib_fmt,pub_place,holding_library,source_url,catalog_url
hathitrust,uiug.30112088129504,Directory of prepaid dental care plans.,,1963,"U.S. Bureau of Health Manpower, Division of Dental Health.",eng,pd,allow,True,,45892371,,SE,mdu,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112088129504,https://catalog.hathitrust.org/Record/000045325
hathitrust,cub.u183040082678,Directory of prepaid dental care plans.,,1967,"U.S. Bureau of Health Manpower, Division of Dental Health.",eng,pd,allow,True,,45892371,,SE,mdu,COU,https://babel.hathitrust.org/cgi/pt?id=cub.u183040082678,https://catalog.hathitrust.org/Record/000045325
hathitrust,uc1.32106019310223,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019310223,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019310231,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019310231,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019310272,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019310272,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019310264,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019310264,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019310256,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019310256,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019310249,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019310249,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019446860,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019446860,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019446878,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019446878,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019446886,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019446886,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019446894,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019446894,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019448783,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019448783,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106015789982,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106015789982,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106019448817,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106019448817,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.32106015528562,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.32106015528562,https://catalog.hathitrust.org/Record/000045719
hathitrust,osu.32435020655940,Deutsche Dialektgeographie,,1908,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,OU,https://babel.hathitrust.org/cgi/pt?id=osu.32435020655940,https://catalog.hathitrust.org/Record/000045719
hathitrust,osu.32435020655866,Deutsche Dialektgeographie,,1921,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,OU,https://babel.hathitrust.org/cgi/pt?id=osu.32435020655866,https://catalog.hathitrust.org/Record/000045719
