title,author,year,lang,rights,fmt,publisher,oclc,htid,url,n_copies
"Alice's adventures in Wonderland. Through the looking-glass. The hunting of the Snark, by Lewis Carroll [i.e. C.L. Dodgson] ill. by John Tenniel; introd. by Alexander Woollcott.","Carroll, Lewis, 1832-1898.",1920.0,eng,pdus,BK,Modern Library [192-],8881659,uc1.32106006465717,https://babel.hathitrust.org/cgi/pt?id=uc1.32106006465717,1
"The hunting of the snark : an agony, in eight fits / by Lewis Carroll ... ; with nine illustrations by Henry Holiday.","Carroll, Lewis, 1832-1898",1903.0,eng,pd,BK,"Macmillan and Co., Limited ; The Macmillan Company, 1903.",26339769,hvd.hwhs64,https://babel.hathitrust.org/cgi/pt?id=hvd.hwhs64,1
"Alice in Wonderland, by Lewis Carroll [pseud.]  Printed in Gregg shorthand.","Carroll, Lewis, 1832-1898.",1921.0,eng,pd,BK,"The Gregg Publishing Company, [1921?]",6361610,uc2.ark:/13960/t91836k8f,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t91836k8f,1
The game of logic.,"Carroll, Lewis, 1832-1898.",1886.0,eng,pd,BK,"Macmillan, 1886.",23115487,uc2.ark:/13960/t2p55kp62,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2p55kp62,1
"The game of logic, by Lewis Carroll [pseud.]","Carroll, Lewis, 1832-1898.",1887.0,eng,pd,BK,"Macmillan and Co., 1887.",2791983,dul1.ark:/13960/t58d1gf94,https://babel.hathitrust.org/cgi/pt?id=dul1.ark:/13960/t58d1gf94,1
Further nonsense verse and prose / by Lewis Carroll ; edited by Langford Reed ; illustrated by H.M. Bateman.,"Carroll, Lewis, 1832-1898.",1926.0,eng,pdus,BK,"T. Fisher Unwin, 1926.",15681578,uc1.31822006907406,https://babel.hathitrust.org/cgi/pt?id=uc1.31822006907406,1
"Further nonsense verse and prose, by Lewis Carroll [pseud.] (edited by Langford Reed) illustrated by H. M. Bateman.","Carroll, Lewis, 1832-1898.",1926.0,eng,pd,BK,"D. Appleton, 1926.","218201009,991250",uc1.b4102109,https://babel.hathitrust.org/cgi/pt?id=uc1.b4102109,1
Euclid and his modern rivals / by Charles L. Dodgson ...,"Carroll, Lewis, 1832-1898.",1879.0,eng,pd,BK,"Macmillan and Co., 1879 ...",2270933,mdp.39015017351969,https://babel.hathitrust.org/cgi/pt?id=mdp.39015017351969,1
Else' i eventyrland / Efter Lewis Carroll [pseud.] ; Ved Margrethe Horn ; Med original tegninger af John Tenniel.,"Carroll, Lewis, 1832-1898",1903.0,nor,pdus,BK,"Olaf Norlis Forlag, 1903.",1964493,hvd.hwhs4r,https://babel.hathitrust.org/cgi/pt?id=hvd.hwhs4r,1
Eactra? Ei?lís i dTír na nlongantas / Pádraig Ó Ca?la do cuir Gae?ealg ar an sgeul so.,"Carroll, Lewis, 1832-1898.",1922.0,iri,pdus,BK,"Maunsel agus Roberts, 1922.",6432930,bc.ark:/13960/t0ht6fm89,https://babel.hathitrust.org/cgi/pt?id=bc.ark:/13960/t0ht6fm89,1
"Curiosa mathematica. Part II. ... / By Charles L. Dodgson, ...","Carroll, Lewis, 1832-1898",1894.0,eng,pd,BK,"Macmillan & Co., 1894.",236095038,hvd.32044014465587,https://babel.hathitrust.org/cgi/pt?id=hvd.32044014465587,1
"Curiosa mathematica. Part I, A new theory of parallels.","Carroll, Lewis, 1832-1898.",1972.0,eng,pdus,BK,"Macmillan, 1890.",65842587,mdp.39015042129091,https://babel.hathitrust.org/cgi/pt?id=mdp.39015042129091,1
The collected verse of Lewis Carroll [pseud.] with an introduction by John Francis McDermott.,"Carroll, Lewis, 1832-1898.",1929.0,eng,pd,BK,"E.P. Dutton & Co., Inc. [c1929]","214547481,575437",uc1.b4107350,https://babel.hathitrust.org/cgi/pt?id=uc1.b4107350,1
Aventures d'Alice au pays des merveilles. Par Lewis Carroll [pseud.] Tr. de l'anglais par Henri Bué. Ouvrage illustré de 42 vignettes par John Tenniel.,"Carroll, Lewis, 1832-1898.",1869.0,fre,pd,BK,"Macmillan and Co., 1869.","215343638,2500599",uc1.b4102119,https://babel.hathitrust.org/cgi/pt?id=uc1.b4102119,1
"Aventures D'Alice Au Pays des Merveilles par Lewis Carroll, illustrées par Arthur Rackham.","Carroll, Lewis, 1832-1898.",1900.0,fre,pd,BK,Librairie Hachette [19--?],1189955,osu.32435000073379,https://babel.hathitrust.org/cgi/pt?id=osu.32435000073379,1
Alisa v strane chudes / Lewis Carroll ; perer. dli︠a︡ russkikh deteĭ A. D'aktilʹ.,"Carroll, Lewis, 1832-1898.",1923.0,rus,pdus,BK,"Izd-vo L.D. Frenkelʹ, 1923.",146217665,nyp.33433074681044,https://babel.hathitrust.org/cgi/pt?id=nyp.33433074681044,1
"Alice's adventures under ground : being a facsimile of the original ms. book afterwards developed into ""Alice's adventures in Wonderland"" / by Lewis Carroll ; with thirty-seven illustrations by the author.","Carroll, Lewis, 1832-1898",1886.0,eng,pd,BK,"Macmillan and Co., 1886.",1029933337,hvd.32044037112588,https://babel.hathitrust.org/cgi/pt?id=hvd.32044037112588,1
Alice's adventures in Wonderland. : Through the looking-glass. The hunting of the snark / By Lewis Carroll [pseud.] illus. by John Tenniel; introd. by Alexander Woollcott,"Carroll, Lewis, 1832-1898",1929.0,eng,pd,BK,"Modern Library, [between 1920 and 1929]",11882414,uc1.31822005418025,https://babel.hathitrust.org/cgi/pt?id=uc1.31822005418025,1
"ʻAlisah be-erets ha-niflaʼot / katuv ʻIvrit bi-yede L. Saman.,עליסה בארץ הנפלאות / כתוב עברית בידי ל. לסמן.","Carroll, Lewis, 1832-1898.",1924.0,heb,pdus,BK,"Omanut, 684 [1924], אמנות, [4291] 486.",,nyp.33433022165322,https://babel.hathitrust.org/cgi/pt?id=nyp.33433022165322,1
